StudentID,Attendance_Percent,Gender,Age,Department,Midterm_Score,Final_Score,Projects_Score,Total_Score,Extracurricular_Activities,Parent_Education_Level,Family_Income_Level
S10000,61.7,Female,22,Mathematics,40.61,59.61,62.84,59.8865,Yes,Master's,Medium
S10001,69.78,Male,18,Business,57.27,74.0,98.23,81.917,No,High School,Low
S10002,71.95,Male,24,Engineering,41.84,63.85,91.22,67.717,Yes,High School,Low
S10003,81.31,Female,24,Engineering,45.65,44.44,55.48,51.6535,No,High School,Low
S10004,81.37,Female,23,CS,53.13,61.77,87.43,71.403,Yes,Master's,Medium
S10005,72.87,Male,21,Mathematics,70.21,64.48,67.65,68.09,Yes,None,Medium
S10006,79.7,Male,24,Business,90.85,93.74,87.51,82.8575,Yes,Bachelor's,High
S10007,84.5,Male,19,Engineering,91.72,0.0,90.04,71.3685,Yes,None,Low
S10008,81.02,Female,21,CS,76.97,62.75,57.57,65.8605,No,PhD,High
S10009,88.11,Female,22,Business,95.69,86.97,83.09,82.7555,Yes,None,High
S10010,71.28,Female,23,Business,70.0,85.54,93.14,79.986,Yes,High School,Low
S10011,96.7,Female,20,Mathematics,93.34,87.9,66.17,77.6705,,None,Low
S10012,83.67,Male,21,Engineering,67.24,97.23,54.02,70.909,No,None,Medium
S10013,70.54,Male,18,Business,56.63,87.73,51.36,66.7105,No,PhD,Medium
S10014,74.69,Male,19,CS,94.98,64.46,55.5,63.7,No,Bachelor's,High
S10015,68.36,Male,18,CS,63.28,89.29,50.21,70.567,Yes,Bachelor's,Low
S10016,79.49,Female,21,Business,70.2,70.52,66.35,68.4415,No,High School,High
S10017,81.53,Female,23,CS,59.73,56.66,64.97,65.373,No,Bachelor's,Medium
S10018,0.0,Male,20,Business,79.77,58.18,55.52,61.4295,Yes,High School,High
S10019,77.31,Male,20,CS,99.7,53.43,82.56,80.2355,No,Master's,Low
S10020,83.05,Male,18,Business,41.53,48.7,99.6,68.056,No,PhD,High
S10021,64.76,Male,22,Business,93.99,51.07,95.05,72.2395,No,None,High
S10022,72.19,Male,22,Business,40.24,43.79,62.64,59.3065,No,PhD,Low
S10023,89.13,Female,23,CS,61.85,93.31,88.5,81.2455,Yes,Bachelor's,Low
S10024,86.57,Female,20,Business,50.12,95.86,96.84,78.4575,No,None,Low
S10025,71.01,Male,18,Mathematics,85.44,75.21,95.32,76.841,No,PhD,Medium
S10026,86.82,Male,18,Business,43.04,90.43,94.23,81.05,No,PhD,High
S10027,77.91,Male,18,Engineering,73.21,51.01,89.32,71.425,No,High School,High
